strategy,nodes,edges,trial,ms,gb_per_sec
single_thread,16384,131072,0,0.09485,11.746
single_thread,16384,131072,1,0.09962,11.183
single_thread,16384,131072,2,0.09374,11.886
for_each_par,16384,131072,0,0.07982,13.958
for_each_par,16384,131072,1,0.04912,22.683
for_each_par,16384,131072,2,0.02003,55.630
thread_per_item,16384,131072,0,144.43720,0.008
single_thread,32768,262144,0,0.11291,19.735
single_thread,32768,262144,1,0.10363,21.502
single_thread,32768,262144,2,0.10390,21.446
for_each_par,32768,262144,0,0.04203,53.010
for_each_par,32768,262144,1,0.02385,93.431
for_each_par,32768,262144,2,0.02479,89.873
thread_per_item,32768,262144,0,238.14663,0.009
single_thread,65536,524288,0,0.19292,23.100
single_thread,65536,524288,1,0.19092,23.343
single_thread,65536,524288,2,0.19625,22.708
for_each_par,65536,524288,0,0.04031,110.563
for_each_par,65536,524288,1,0.03750,118.835
for_each_par,65536,524288,2,0.03473,128.332
thread_per_item,65536,524288,0,478.70531,0.009
single_thread,131072,1048576,0,0.37571,23.723
single_thread,131072,1048576,1,0.38303,23.270
single_thread,131072,1048576,2,0.37053,24.054
for_each_par,131072,1048576,0,0.07324,121.689
for_each_par,131072,1048576,1,0.06392,139.432
for_each_par,131072,1048576,2,0.06363,140.083
thread_per_item,131072,1048576,0,960.08966,0.009
single_thread,262144,2097152,0,0.74274,24.000
single_thread,262144,2097152,1,0.74249,24.008
single_thread,262144,2097152,2,0.73701,24.187
for_each_par,262144,2097152,0,0.12028,148.200
for_each_par,262144,2097152,1,0.11293,157.847
for_each_par,262144,2097152,2,0.11701,152.343
thread_per_item,262144,2097152,0,1893.25343,0.009
single_thread,524288,4194304,0,1.53344,23.249
single_thread,524288,4194304,1,1.52975,23.306
single_thread,524288,4194304,2,1.55302,22.956
for_each_par,524288,4194304,0,0.30735,115.995
for_each_par,524288,4194304,1,0.25994,137.152
for_each_par,524288,4194304,2,0.25699,138.726
thread_per_item,524288,4194304,0,3837.53359,0.009
single_thread,1048576,8388608,0,3.04066,23.450
single_thread,1048576,8388608,1,3.04076,23.449
single_thread,1048576,8388608,2,3.04388,23.425
for_each_par,1048576,8388608,0,1.24936,57.072
for_each_par,1048576,8388608,1,1.29941,54.873
for_each_par,1048576,8388608,2,1.27484,55.931
thread_per_item,1048576,8388608,0,7540.50472,0.009
single_thread,2097152,16777216,0,6.04401,23.595
single_thread,2097152,16777216,1,6.11109,23.336
single_thread,2097152,16777216,2,6.07033,23.492
for_each_par,2097152,16777216,0,2.81438,50.671
for_each_par,2097152,16777216,1,2.82423,50.494
for_each_par,2097152,16777216,2,2.84444,50.135
single_thread,4194304,33554432,0,12.22492,23.330
single_thread,4194304,33554432,1,12.09888,23.573
single_thread,4194304,33554432,2,12.25636,23.271
for_each_par,4194304,33554432,0,5.94138,48.004
for_each_par,4194304,33554432,1,5.97635,47.724
for_each_par,4194304,33554432,2,5.90154,48.329
single_thread,8388608,67108864,0,25.87732,22.043
single_thread,8388608,67108864,1,25.86555,22.053
single_thread,8388608,67108864,2,25.80822,22.102
for_each_par,8388608,67108864,0,12.17255,46.862
for_each_par,8388608,67108864,1,11.84539,48.156
for_each_par,8388608,67108864,2,11.87294,48.044
single_thread,16777216,134217728,0,53.66378,21.259
single_thread,16777216,134217728,1,53.91549,21.160
single_thread,16777216,134217728,2,53.59501,21.287
for_each_par,16777216,134217728,0,24.06299,47.411
for_each_par,16777216,134217728,1,24.17159,47.198
for_each_par,16777216,134217728,2,23.89321,47.748
