strategy,nodes,edges,trial,ms,gb_per_sec
gpu_kernel,16384,131072,0,0.00317,350.968
gpu_kernel,16384,131072,1,0.00317,350.968
gpu_kernel,16384,131072,2,0.00317,351.677
gpu_with_transfer,16384,131072,0,0.08363,13.322
gpu_with_transfer,16384,131072,1,0.08347,13.347
gpu_with_transfer,16384,131072,2,0.08373,13.305
gpu_kernel,32768,262144,0,0.00367,607.079
gpu_kernel,32768,262144,1,0.00367,607.609
gpu_kernel,32768,262144,2,0.00358,621.714
gpu_with_transfer,32768,262144,0,0.20173,11.045
gpu_with_transfer,32768,262144,1,0.20414,10.915
gpu_with_transfer,32768,262144,2,0.20373,10.937
gpu_kernel,65536,524288,0,0.00891,500.230
gpu_kernel,65536,524288,1,0.00873,510.499
gpu_kernel,65536,524288,2,0.00888,502.033
gpu_with_transfer,65536,524288,0,0.38953,11.441
gpu_with_transfer,65536,524288,1,0.38891,11.459
gpu_with_transfer,65536,524288,2,0.38920,11.450
gpu_kernel,131072,1048576,0,0.02355,378.435
gpu_kernel,131072,1048576,1,0.02345,380.087
gpu_kernel,131072,1048576,2,0.02344,380.295
gpu_with_transfer,131072,1048576,0,0.75853,11.750
gpu_with_transfer,131072,1048576,1,0.76303,11.681
gpu_with_transfer,131072,1048576,2,0.75863,11.749
gpu_kernel,262144,2097152,0,0.04422,403.080
gpu_kernel,262144,2097152,1,0.04403,404.837
gpu_kernel,262144,2097152,2,0.04403,404.837
gpu_with_transfer,262144,2097152,0,1.51087,11.798
gpu_with_transfer,262144,2097152,1,1.51226,11.788
gpu_with_transfer,262144,2097152,2,1.50630,11.834
gpu_kernel,524288,4194304,0,0.08550,416.958
gpu_kernel,524288,4194304,1,0.08549,417.005
gpu_kernel,524288,4194304,2,0.08540,417.458
gpu_with_transfer,524288,4194304,0,2.98101,11.960
gpu_with_transfer,524288,4194304,1,2.98794,11.932
gpu_with_transfer,524288,4194304,2,2.97546,11.982
gpu_kernel,1048576,8388608,0,0.16835,423.552
gpu_kernel,1048576,8388608,1,0.16824,423.810
gpu_kernel,1048576,8388608,2,0.16832,423.625
gpu_with_transfer,1048576,8388608,0,5.97313,11.937
gpu_with_transfer,1048576,8388608,1,5.94411,11.996
gpu_with_transfer,1048576,8388608,2,5.94264,11.999
gpu_kernel,2097152,16777216,0,0.33382,427.190
gpu_kernel,2097152,16777216,1,0.33362,427.452
gpu_kernel,2097152,16777216,2,0.33362,427.452
gpu_with_transfer,2097152,16777216,0,11.90232,11.981
gpu_with_transfer,2097152,16777216,1,11.87696,12.007
gpu_with_transfer,2097152,16777216,2,11.89272,11.991
gpu_kernel,4194304,33554432,0,0.66528,428.711
gpu_kernel,4194304,33554432,1,0.66519,428.768
gpu_kernel,4194304,33554432,2,0.66519,428.768
gpu_with_transfer,4194304,33554432,0,23.72927,12.019
gpu_with_transfer,4194304,33554432,1,23.94717,11.910
gpu_with_transfer,4194304,33554432,2,23.73742,12.015
gpu_kernel,8388608,67108864,0,1.32659,429.993
gpu_kernel,8388608,67108864,1,1.32649,430.026
gpu_kernel,8388608,67108864,2,1.32639,430.059
gpu_with_transfer,8388608,67108864,0,47.98383,11.888
gpu_with_transfer,8388608,67108864,1,47.98214,11.888
gpu_with_transfer,8388608,67108864,2,47.97203,11.891
gpu_kernel,16777216,134217728,0,2.65175,430.226
gpu_kernel,16777216,134217728,1,2.65168,430.237
gpu_kernel,16777216,134217728,2,2.65175,430.226
gpu_with_transfer,16777216,134217728,0,96.08082,11.874
gpu_with_transfer,16777216,134217728,1,95.80851,11.908
gpu_with_transfer,16777216,134217728,2,95.71932,11.919
