layout,threads,trial,edges_per_sec,gb_per_sec
soa,1,0,2587682808,22.00
soa,1,1,2615153559,22.23
soa,1,2,2615335235,22.23
soa,2,0,4289708237,36.46
soa,2,1,4331511727,36.82
soa,2,2,4122965766,35.05
soa,3,0,4687652796,39.85
soa,3,1,4725035390,40.16
soa,3,2,4703503726,39.98
soa,4,0,5178934003,44.02
soa,4,1,5167843558,43.93
soa,4,2,5191496193,44.13
soa,5,0,5444618602,46.28
soa,5,1,5365284609,45.60
soa,5,2,5420683501,46.08
soa,6,0,5476441323,46.55
soa,6,1,5724051555,48.65
soa,6,2,5625509393,47.82
soa,7,0,5622945707,47.80
soa,7,1,5645173688,47.98
soa,7,2,5629750754,47.85
soa,8,0,5619594618,47.77
soa,8,1,5647840963,48.01
soa,8,2,5630304414,47.86
soa,9,0,5671327144,48.21
soa,9,1,5767224221,49.02
soa,9,2,5747471639,48.85
soa,10,0,5734769750,48.75
soa,10,1,5584049083,47.46
soa,10,2,5603681248,47.63
soa,11,0,5639489715,47.94
soa,11,1,5624559251,47.81
soa,11,2,5718863610,48.61
soa,12,0,5569335198,47.34
soa,12,1,5664052195,48.14
soa,12,2,5677184816,48.26
soa,13,0,5665150970,48.15
soa,13,1,5722509252,48.64
soa,13,2,5729125666,48.70
soa,14,0,5721910575,48.64
soa,14,1,5717721980,48.60
soa,14,2,5716413297,48.59
soa,15,0,5680620734,48.29
soa,15,1,5620289745,47.77
soa,15,2,5680364836,48.28
soa,16,0,5684531407,48.32
soa,16,1,5595940942,47.57
soa,16,2,5685450478,48.33
soa,17,0,5687772499,48.35
soa,17,1,5678522781,48.27
soa,17,2,5624044049,47.80
soa,18,0,5653957614,48.06
soa,18,1,5650989423,48.03
soa,18,2,5675643181,48.24
soa,19,0,5667990825,48.18
soa,19,1,5671063360,48.20
soa,19,2,5664095507,48.14
soa,20,0,5512994597,46.86
soa,20,1,5564169307,47.30
soa,20,2,5649542071,48.02
soa,21,0,5646963566,48.00
soa,21,1,5600920787,47.61
soa,21,2,5580848698,47.44
soa,22,0,5634149120,47.89
soa,22,1,5635644250,47.90
soa,22,2,5532378930,47.03
soa,23,0,5565023839,47.30
soa,23,1,5657139223,48.09
soa,23,2,5631022416,47.86
soa,24,0,5657725090,48.09
soa,24,1,5643926860,47.97
soa,24,2,5649773225,48.02
soa,28,0,5614286078,47.72
soa,28,1,5569959510,47.34
soa,28,2,5622181531,47.79
soa,32,0,5621277621,47.78
soa,32,1,5596163904,47.57
soa,32,2,5440909290,46.25
soa,36,0,5550836782,47.18
soa,36,1,5570463094,47.35
soa,36,2,5268716634,44.78
soa,40,0,5598844191,47.59
soa,40,1,5526944570,46.98
soa,40,2,5568044397,47.33
soa,44,0,5611508404,47.70
soa,44,1,5602275796,47.62
soa,44,2,5608257447,47.67
soa,48,0,5588982547,47.51
soa,48,1,5523091365,46.95
soa,48,2,5519597064,46.92
soa,52,0,5433858211,46.19
soa,52,1,5618101029,47.75
soa,52,2,5501324398,46.76
soa,56,0,5514327692,46.87
soa,56,1,5608280975,47.67
soa,56,2,5592453894,47.54
soa,60,0,5621792127,47.79
soa,60,1,5550137337,47.18
soa,60,2,5646421638,47.99
soa,64,0,5532501345,47.03
soa,64,1,5618304218,47.76
soa,64,2,5577456171,47.41
soa,80,0,5512622254,46.86
soa,80,1,5617263973,47.75
soa,80,2,5603846707,47.63
soa,96,0,5561449379,47.27
soa,96,1,5632197466,47.87
soa,96,2,5656949238,48.08
soa,112,0,5541778142,47.11
soa,112,1,5601863146,47.62
soa,112,2,5591462799,47.53
soa,128,0,5653494831,48.05
soa,128,1,5657997651,48.09
soa,128,2,5563107690,47.29
soa,144,0,5641444340,47.95
soa,144,1,5631591732,47.87
soa,144,2,5610607078,47.69
soa,160,0,5633675859,47.89
soa,160,1,5426531022,46.13
soa,160,2,5612783385,47.71
soa,176,0,5634644507,47.89
soa,176,1,5646469336,47.99
soa,176,2,5642338335,47.96
soa,192,0,5631310178,47.87
soa,192,1,5572698137,47.37
soa,192,2,5551006574,47.18
soa,208,0,5610143860,47.69
soa,208,1,5616820341,47.74
soa,208,2,5613435320,47.71
soa,224,0,5507171302,46.81
soa,224,1,5591460656,47.53
soa,224,2,5646021459,47.99
soa,240,0,5626842736,47.83
soa,240,1,5630644542,47.86
soa,240,2,5646093757,47.99
soa,256,0,5639173821,47.93
soa,256,1,5627291634,47.83
soa,256,2,5616042507,47.74
