mode,unit,threads,trial,throughput
cpu,rows,1,0,9968.9
cpu,rows,1,1,9967.2
cpu,rows,1,2,9968.4
cpu,rows,2,0,19552.2
cpu,rows,2,1,19454.6
cpu,rows,2,2,19902.0
cpu,rows,3,0,29158.0
cpu,rows,3,1,29060.2
cpu,rows,3,2,29265.3
cpu,rows,4,0,38875.8
cpu,rows,4,1,38914.6
cpu,rows,4,2,38907.7
cpu,rows,5,0,46790.7
cpu,rows,5,1,46757.2
cpu,rows,5,2,46778.9
cpu,rows,6,0,55816.6
cpu,rows,6,1,56119.5
cpu,rows,6,2,55933.1
cpu,rows,7,0,62552.9
cpu,rows,7,1,62628.6
cpu,rows,7,2,62158.8
cpu,rows,8,0,69032.1
cpu,rows,8,1,69074.1
cpu,rows,8,2,69044.5
cpu,rows,9,0,75526.1
cpu,rows,9,1,75448.3
cpu,rows,9,2,75201.4
cpu,rows,10,0,82017.9
cpu,rows,10,1,81873.9
cpu,rows,10,2,82034.1
cpu,rows,11,0,88521.1
cpu,rows,11,1,88379.0
cpu,rows,11,2,88412.0
cpu,rows,12,0,94883.6
cpu,rows,12,1,94955.0
cpu,rows,12,2,94659.8
cpu,rows,13,0,101374.8
cpu,rows,13,1,101166.4
cpu,rows,13,2,101412.7
cpu,rows,14,0,107826.4
cpu,rows,14,1,107790.3
cpu,rows,14,2,107804.4
cpu,rows,15,0,114871.7
cpu,rows,15,1,114813.4
cpu,rows,15,2,114855.6
cpu,rows,16,0,114897.5
cpu,rows,16,1,114773.6
cpu,rows,16,2,114879.5
cpu,rows,17,0,121954.6
cpu,rows,17,1,122162.7
cpu,rows,17,2,122212.7
cpu,rows,18,0,121906.8
cpu,rows,18,1,121908.8
cpu,rows,18,2,128939.9
cpu,rows,19,0,128935.9
cpu,rows,19,1,135777.1
cpu,rows,19,2,135877.5
cpu,rows,20,0,135978.1
cpu,rows,20,1,136047.6
cpu,rows,20,2,142582.7
cpu,rows,21,0,149846.0
cpu,rows,21,1,149915.6
cpu,rows,21,2,143016.7
cpu,rows,22,0,149957.8
cpu,rows,22,1,149504.0
cpu,rows,22,2,149972.3
cpu,rows,23,0,149794.0
cpu,rows,23,1,149896.2
cpu,rows,23,2,150056.1
cpu,rows,24,0,149834.1
cpu,rows,24,1,149812.2
cpu,rows,24,2,149928.3
cpu,rows,25,0,149888.4
cpu,rows,25,1,149980.1
cpu,rows,25,2,149477.7
cpu,rows,26,0,149846.2
cpu,rows,26,1,149862.2
cpu,rows,26,2,150004.1
cpu,rows,27,0,149876.2
cpu,rows,27,1,149942.2
cpu,rows,27,2,150212.3
cpu,rows,28,0,149782.1
cpu,rows,28,1,150018.3
cpu,rows,28,2,149870.4
cpu,rows,29,0,149940.2
cpu,rows,29,1,149988.3
cpu,rows,29,2,149943.3
cpu,rows,30,0,149621.7
cpu,rows,30,1,149950.1
cpu,rows,30,2,149293.7
cpu,rows,31,0,149860.2
cpu,rows,31,1,149991.6
cpu,rows,31,2,150122.2
cpu,rows,32,0,149882.3
cpu,rows,32,1,149974.2
cpu,rows,32,2,149930.1
cpu,rows,33,0,149432.1
cpu,rows,33,1,149575.8
cpu,rows,33,2,149855.8
cpu,rows,34,0,126744.4
cpu,rows,34,1,126032.6
cpu,rows,34,2,125910.6
cpu,rows,35,0,126203.7
cpu,rows,35,1,126046.6
cpu,rows,35,2,126016.5
cpu,rows,36,0,126170.5
cpu,rows,36,1,126176.4
cpu,rows,36,2,126312.5
cpu,rows,37,0,126408.6
cpu,rows,37,1,126332.5
