mode,unit,threads,trial,throughput
io,tasks,1,0,99.9
io,tasks,1,1,100.0
io,tasks,1,2,100.0
io,tasks,2,0,199.9
io,tasks,2,1,199.9
io,tasks,2,2,199.9
io,tasks,3,0,300.0
io,tasks,3,1,299.8
io,tasks,3,2,297.4
io,tasks,4,0,399.9
io,tasks,4,1,399.9
io,tasks,4,2,399.9
io,tasks,5,0,499.9
io,tasks,5,1,499.7
io,tasks,5,2,499.8
io,tasks,6,0,599.9
io,tasks,6,1,599.8
io,tasks,6,2,599.9
io,tasks,7,0,699.9
io,tasks,7,1,699.7
io,tasks,7,2,699.7
io,tasks,8,0,799.7
io,tasks,8,1,799.8
io,tasks,8,2,799.7
io,tasks,9,0,899.8
io,tasks,9,1,899.8
io,tasks,9,2,899.7
io,tasks,10,0,999.6
io,tasks,10,1,999.8
io,tasks,10,2,999.8
io,tasks,11,0,1099.6
io,tasks,11,1,1099.8
io,tasks,11,2,1099.6
io,tasks,12,0,1199.8
io,tasks,12,1,1199.8
io,tasks,12,2,1199.7
io,tasks,13,0,1299.8
io,tasks,13,1,1299.7
io,tasks,13,2,1299.5
io,tasks,14,0,1399.7
io,tasks,14,1,1399.4
io,tasks,14,2,1399.5
io,tasks,15,0,1499.7
io,tasks,15,1,1499.7
io,tasks,15,2,1499.4
io,tasks,16,0,1599.4
io,tasks,16,1,1599.4
io,tasks,16,2,1599.5
io,tasks,17,0,1699.7
io,tasks,17,1,1699.4
io,tasks,17,2,1699.4
io,tasks,18,0,1799.3
io,tasks,18,1,1799.7
io,tasks,18,2,1799.4
io,tasks,19,0,1899.6
io,tasks,19,1,1899.6
io,tasks,19,2,1899.4
io,tasks,20,0,1999.6
io,tasks,20,1,1999.3
io,tasks,20,2,1999.2
io,tasks,21,0,2099.1
io,tasks,21,1,2099.6
io,tasks,21,2,2099.3
io,tasks,22,0,2199.5
io,tasks,22,1,2199.2
io,tasks,22,2,2199.2
io,tasks,23,0,2299.2
io,tasks,23,1,2299.5
io,tasks,23,2,2299.2
io,tasks,24,0,2399.5
io,tasks,24,1,2399.0
io,tasks,24,2,2399.5
io,tasks,25,0,2499.1
io,tasks,25,1,2499.1
io,tasks,25,2,2499.4
io,tasks,26,0,2599.4
io,tasks,26,1,2599.1
io,tasks,26,2,2599.1
io,tasks,27,0,2699.5
io,tasks,27,1,2699.0
io,tasks,27,2,2699.4
io,tasks,28,0,2798.9
io,tasks,28,1,2799.0
io,tasks,28,2,2799.5
io,tasks,29,0,2899.5
io,tasks,29,1,2898.9
io,tasks,29,2,2899.6
io,tasks,30,0,2998.9
io,tasks,30,1,2999.0
io,tasks,30,2,2999.3
io,tasks,31,0,3099.5
io,tasks,31,1,3099.6
io,tasks,31,2,3099.4
io,tasks,32,0,3199.4
io,tasks,32,1,3199.4
io,tasks,32,2,3199.0
io,tasks,36,0,3598.9
io,tasks,36,1,3599.4
io,tasks,36,2,3599.3
io,tasks,40,0,3998.7
io,tasks,40,1,3999.3
io,tasks,40,2,3998.7
io,tasks,44,0,4398.1
io,tasks,44,1,4398.6
io,tasks,44,2,4398.0
io,tasks,48,0,4798.2
io,tasks,48,1,4799.2
io,tasks,48,2,4799.2
io,tasks,52,0,5198.0
io,tasks,52,1,5198.1
io,tasks,52,2,5199.2
io,tasks,56,0,5599.1
io,tasks,56,1,5599.1
io,tasks,56,2,5598.9
io,tasks,60,0,5997.8
io,tasks,60,1,5997.8
io,tasks,60,2,5998.9
io,tasks,64,0,6398.0
io,tasks,64,1,6398.8
io,tasks,64,2,6398.8
io,tasks,68,0,6798.9
io,tasks,68,1,6798.8
io,tasks,68,2,6798.9
io,tasks,72,0,7198.8
io,tasks,72,1,7198.8
